,chinese_name,director,episode,movie_name,movie_time,ranking,score,score_num,summary,tv_time,week,month,day,year
3629,从很久以前就喜欢你了,柳泽哲也,1,ずっと前から好きでした。～告白実行委員会～,,3865.0,6.5,563.0,因为这是最后的练习——。,,,,,
3630,覆写世界,,1,K SEVEN STORIES Episode 3「SIDE:GREEN ～上書き世界～」,9/1/2018,3866.0,6.3,128.0,覆面作家集団の「GoRA」が原作、GoHandsがアニメーション制作を手がけ、2012年にテレビシリーズが放送、14年に劇場版「KMISSINGKINGS」が公開されたオリジナルアニメ「K」の新たな劇場版。小説や漫画で発表されたストーリーや書き下ろしのストーリーなど、7つの物語をアニメ化して劇場公開する「KSEVENSTORIES」のエピソード3。単身で「黄金の王」國常路大覚に挑み、敗北した「緑の王」比水流は、いつか必ず「ドレスデン石盤」を奪いとると誓う。それから7年後、國常路家に仕える名家の一人息子である五條スクナは、家を出て「jungle」で頭角を現しはじめていた。自由だがどこか行き場のないいらだちを抱えるスクナの前に、「jungle」幹部の御芍神紫が立ちはだかる。「KSEVENSTORIES」の一作でもあるスピンオフショートムービー「ザ・アイドルK」が同時上映。,,,,,
3631,猫猫日本史,河村友宏,32,ねこねこ日本史,,3867.0,5.9,54.0,根据噌西健司的同名四格漫画改编，将日本历史上的名人变成猫的故事。于2016年4月开始在NHK教育频道的天才电视节目动画档播出。,4/6/2016,星期三,4,6,2016
3632,地狱厨房,岸诚二,1,Angel Beats! Hell's Kitchen,,3869.0,6.5,947.0,完全新作。,,,,,
3633,红白黑黄,,14,RWBY Volume 5,,3871.0,6.4,311.0,,10/14/2017,星期六,10,14,2017
3634, ,荒井和人,6,フリクリ プログレ,9/28/2018,3872.0,6.4,273.0,ありとあらゆる命題に明確な答えを用意せず、生理的欲動の充足のみをシコシコ満喫しその日暮らすような説得力ゼロ青少年たち。,,,,,
3635,奏光之,渡边哲哉,13,奏光のストレイン,,3875.0,6.4,182.0,遥远的未来——人类分裂成了以有人兵器STRAIN(STRategicArmoredINfantry战略装甲步兵)为主战力（联合）和以无人兵器TUMO(TacticalUnmannedManeuverORd战术无人机动球体)为主战力（帝国）的两大阵营，从而开始了永无止息的战斗。现年16岁的セーラ·ウィーレック是联合阵营的名门独生女，就读于クラニアル星域的寄宿制リーズナー养成机关クラベラ空间机甲兵科学院，并且一心想成为リーズナー（STRAIN驾驶员）。成绩优秀的她的心中有个秘密，就是期望与最爱的哥哥再相会……セーラ的哥哥ラルフ·ウィーレック在赛拉11岁的时候接到了特殊命令到远在130光年之外的最前线出击。虽然途中乘坐的是联合最为先进的亚光速战舰，客观时间也要经过400年。但主观时间（搭乘员的感觉到的时间）由于受到“ウラシマ效应”的影响实际上只是经过了2年。因此，セーラ想要见到哥哥，就必须也前去同样的战场。兄妹两自小就失去了双亲，因此セーラ对哥哥有着超越普通亲人的感情，兄妹再会被她视为自己活着的意义。セーラ能够与哥哥再相见吗？,11/1/2006,,11,1,2006
3636, ,佐藤雅子,12,アニマエール！,,3876.0,6.5,578.0,喜欢助人为乐的鸠谷小羽，在初中毕业时迷上了相遇的啦啦队，而在高中与经验者有马日诘、儿时玩伴猿渡宇希一同成立了啦啦队同好会。她们活力满满、拼尽全力的应援，今天也在给他人打气！！,10/7/2018,星期日,10,7,2018
3637,告白实行委员会,,1,告白実行委員会 ヤキモチの答え ショートストーリー,,3877.0,6.4,226.0,『难道我就不行吗?～「告白实行委员会」角色歌曲集』初回特典OAD,,,,,
3638,超时空要塞,八谷贤一,6,超時空要塞マクロスII -LOVERS AGAIN-,,3878.0,6.3,156.0,在與傑特拉帝人（ゼントラーディ）的戰爭結束80年之後，地球即將遭到新的外星人馬爾杜克（マルドゥーク）（Marduk）侵襲；地球統合軍依照以往的成功模式，採用「林明美攻擊」試圖擊退對方，卻驚訝的發現馬爾杜克軍也是利用歌聲驅使戰鬥部隊，且威力更勝過「林明美攻擊」，地球遭遇到前所未有的危機。,,,,,
